"show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description"
"s1,Movie,Ricky Velez: Here's Everything,,,,""October 24, 2021"",2021,TV-MA,,""Comedy, Stand Up"",​Comedian Ricky Velez bares it all with his honest lens and down to earth perspective in his first-ever HBO stand-up special."
"s2,Movie,Silent Night,,,,""October 23, 2021"",2020,,94 min,""Crime, Drama, Thriller"",""Mark, a low end South London hitman recently released from prison, tries to go straight for his daughter, but gets drawn back in by Alan, his former cellmate, to do one final job."""
"s3,Movie,The Marksman,,,,""October 23, 2021"",2021,PG-13,108 min,""Action, Thriller"",A hardened Arizona rancher tries to protect an 11-year-old migrant boy fleeing from a ruthless drug cartel."
"s4,Movie,Gaia,,,,""October 22, 2021"",2021,R,97 min,Horror,A forest ranger and two survivalists with a cultish devotion to the forest face the threat of an unrelenting wilderness when a strange being attacks one night."
"s5,Movie,Settlers,,,,""October 22, 2021"",2021,,104 min,""Science Fiction, Thriller"",Mankind's earliest settlers on the Martian frontier do what they must to survive the cosmic elements and each other in this science-fiction thrill ride."
"s6,TV Show,The Halloween Candy Magic Pet,,,,""October 22, 2021"",2021,,1 Season,""Family, Kids"",""Join Mila and Morphle on a mystery-filled Halloween adventure! Jam packed with morphs, costumes, twists turns and spooky morphing fun. This 22-minute Halloween Special will be a kooky, spooky ride! We meet new Magic Pet Candyray who can turn anything or anyone into candy! We also meet Felipe at the farm, who joins our heroes on their crazy adventure in his corn maze. There's a race against time to decorate the Magic Pet Center in time for the Halloweenist House Contest, but with Orphle and the Bandits getting in their way...it won't be easy. Perhaps Candyray holds the key!"""
"s7,Movie,The Evil Next Door,,,,""October 21, 2021"",2020,,88 min,""Horror, Thriller"",""New to her role as a stepmom, a young woman moves into a duplex with her partner and his five-year-old son Lucas. Soon, strange noises start coming from the empty house adjoining theirs. Also, who is Lucas’s new friend?"""
"s8,TV Show,The Next Thing You Eat,,,,""October 21, 2021"",2021,,1 Season,""Cooking & Food, Documentaries, Lifestyle & Culture"",""With the unique insights and experience of Ugly Delicious creators Morgan Neville and David Chang take a tangy look at food and our relationship to it past, present and future. Why do we eat what we eat and are we missing something better? What will we be eating in the future and why?"""
"s9,TV Show,Queens,,,,""October 20, 2021"",2021,TV-14,1 Season,""Drama, Music"",Four women in their 40s reunite for a chance to recapture their fame and regain the swagger they had as legends in the 1990s hip-hop world."
"s10,TV Show,The Bachelorette,,,United States,""October 20, 2021"",2003,TV-14,3 Seasons,""Reality, Romance"",""ABC's romance reality show lets one lucky lady narrow the field of bachelors, leaving only her dream man."""
"s11,TV Show,The Real Queens of Hip-Hop: The Women Who Changed the Game,,,,""October 19, 2021"",2021,,1 Season,""Music, News"",The ABC News special explores the inspiring rise of women in hip-hop and is narrated by Cheryl “Salt” James of Salt-N-Pepa."
"s12,Movie,Dream Horse,,,,""October 18, 2021"",2020,PG,113 min,""Comedy, Drama"",The film tells the inspiring true story of a small town bartender who decides to breed a racehorse. The community chips in their small earnings and the investment pays off as he becomes a beacon of hope in their struggling town."
"s13,Movie,Out of the Shadows: The Man Behind the Steele Dossier,,,,""October 18, 2021"",2021,,,News,George Stephanopoulos sits down with former MI6 spy Christopher Steele for a worldwide exclusive interview; marking his first interview since the publication of the series of intelligence reports now known as the Steele dossier."
"s14,TV Show,Wakefield,,,,""October 18, 2021"",2021,,1 Season,""Drama, Mystery"",""With a gift for soothing the afflicted and reaching the unreachable, brilliant psychiatric nurse Nik Katira is the most stable person at Wakefield mental health unit in the picturesque Blue Mountains of Australia. But as his own sanity suddenly starts to slip, he finds himself questioning the line between reality and madness."""
"s15,TV Show,Home Sweet Home,,,,""October 16, 2021"",2021,TV-PG,1 Season,Reality,""Real families of different backgrounds experience a new way of life when they trade homes, stepping out of their comfort zones to discover each other's similarities and celebrate their differences, created by executive producer Ava DuVernay."""
"s16,Movie,Showtime Championship Boxing: Lopez vs. Salido (R),,,,""October 16, 2021"",2011,,,Sports,Juan Manuel Lopez vs. Orlando Salido for the WBO Featherweight title."
"s17,TV Show,Showtime Championship Boxing: Wilder vs. Molina,,,,""October 16, 2021"",2015,TV-14,1 Season,Sports,Champion Deontay Wilder vs. Eric Molina. Live from the Bartow Arena."
"s18,TV Show,America's Book of Secrets,,,United States,""October 15, 2021"",2012,TV-14,1 Season,""Documentaries, History"",""America's story can be told in many ways. While much of the history of our country is well documented and widely available, there is another deeper history one that has been shrouded in secrecy and hidden from public view; these are the stories we will reveal."""
"s19,TV Show,Beyond Oak Island,,,,""October 15, 2021"",2020,TV-PG,1 Season,""History, Reality"",""From pirates such as Blackbeard and outlaws like Jesse James, to Aztec gold, priceless historical artifacts from American history and sunken treasure ships, “Beyond Oak Island” digs deep into the many treasure quests across the globe."""
"s20,TV Show,Beyond Scared Straight,,,United States,""October 15, 2021"",2011,TV-14,6 Seasons,""Documentaries, Reality, Teen"",""Beyond Scared Straight profiles the new approach to keeping today's teens from becoming tomorrow's prisoners. The power of the original Scared Straight! program has inspired dozens of inmate-run intervention programs in men's and women's prisons across the country. These youthful offender programs put boys and girls of all ethnicities and backgrounds, ranging in age from 11-18, into intensive one-day in-prison sessions that show them the realities of life behind bars."""
"s21,Movie,Cheer Camp Killer,,,,""October 15, 2021"",2020,TV-14,87 min,Thriller,""Camp queen bee Victoria does not take kindly to a newcomer like Sophia taking her spotlight, so she launches a dangerous plan to get her rival out of the way."""
"s22,TV Show,Hoarders,,,United States,""October 15, 2021"",2009,TV-PG,7 Seasons,""Health & Wellness, Lifestyle & Culture, Reality"",Each 60-minute episode of Hoarders is a fascinating look inside the lives of two different people whose inability to part with their belongings is so out of control that they are on the verge of a personal crisis."
"s23,TV Show,Little Women: Atlanta,,,United States,""October 15, 2021"",2016,TV-14,2 Seasons,""Black Stories, Reality"",""In Little Women: Atlanta, the little ladies turn it up wherever they go out, especially with club promoter Emily leading the charge. There is no shortage of drama within this circle of friends as they face the daily challenges that come with being a little person."""
"s24,TV Show,Marrying Millions,,,,""October 15, 2021"",2019,TV-14,2 Seasons,""Documentaries, Reality, Romance"",""Marrying Millions follows six couples who are deeply in love and hoping to marry, but come from completely different worlds. Regular people are whisked off their feet and plunged into a high-end life of riches"""
"s25,TV Show,Nightwatch,,,United States,""October 15, 2021"",2015,TV-14,4 Seasons,""Documentaries, Drama, Mystery"",""""""Nightwatch"""" follows the dangerous stretch of time (between 9pm until 3am) when emergency responders deal with the busiest shift of the day and the most unnerving cases."""
"s26,TV Show,Seven Year Switch,,,,""October 15, 2021"",2017,TV-14,1 Season,Reality,""In Seven Year Switch, four couples at a crossroads in their relationship get a chance to live with a stranger for two weeks in an experimental marriage."""
"s27,Movie,Sleepwalker,,,,""October 15, 2021"",2017,TV-14,88 min,Thriller,A graduate student plagued by bouts of sleepwalking begins to have trouble differentiating between her dreams and reality."
"s28,TV Show,Swamp People,,,United States,""October 15, 2021"",2010,TV-PG,3 Seasons,""Documentaries, Reality"",""Deep in the heart of Louisiana lies America's largest swamp – a million miles of inhospitable bayous, marshes and wetlands where nature rules and humans struggle to tame it."""
"s29,TV Show,Unsolved,,,,""October 15, 2021"",2019,,2 Seasons,""Documentaries, News"",""More than 750 people are missing from Houston and the surrounding towns of the major Texas city. Among the missing are mothers written off by police as runaways. They are hardworking couples who have been targeted. And they are upstanding members of their community who simply slowed down to give someone a ride. Some have been found, their bodies dumped in the infamous Texas Killing Fields. Others have vanished and their cases gone cold. A year turns into five years, turns into a decade and it gets harder and harder for investigators to generate new leads. But, detectives quietly keep working. They work for the women whose stories are forgotten. They work for the families ripped apart by seemingly random attacks. DNA is tested as evidence, sketches are drawn of the missing, surveillance video of a suspect is circulated among media in hopes of closing a case. But when the missing go unreported, victims faces have long since faded from the headlines and even the best video can't identify a murderer, do their cases go unsolved forever?"""
"s30,TV Show,Acapulco Shore,,,,""October 14, 2021"",2014,TV-14,3 Seasons,""Latino, Reality"",""A group of young Mexicans live together and share fun, drama and a lot of alcohol."""
